place,title,time,pay,date
경남 김해시,생각대로 진영동부점,시간협의,"건별3,500",1분전
경남 김해시,생각대로 김해진영점,10:00~01:00,"건별3,500",1분전
경남 김해시,생각대로 진영서부점a,10:00~01:00,"건별3,500",3분전
부산 수영구,생각대로 수영은하수점,시간협의,"일급200,000",3분전
부산 수영구,생각대로 수영은하수점,시간협의,"일급200,000",3분전
부산 수영구,생각대로 광안점,10:00~02:00,"일급150,000",4분전
부산 수영구,생각대로 광안점,10:00~02:00,"일급150,000",4분전
부산 수영구,생각대로 광안점,10:00~02:00,"일급150,000",4분전
부산 연제구,생각대로 연산점,10:00~02:00,"건별3,500",4분전
부산 연제구,생각대로 연산점,10:00~02:00,"건별3,500",4분전
경남 김해시,생각대로 진영서부점a,10:00~01:00,"건별3,500",4분전
서울 은평구,생각대로 FDP_은평2점,시간협의,"월급4,000,000",5분전
대구 달성군,생각대로 구지점,09:00~01:00,"일급180,000",6분전
대구 달성군,생각대로 구지점,09:00~01:00,"일급180,000",6분전
서울 서대문,생각대로 서울북부직영4점,09:00~02:00,"월급5,000,000",6분전
서울 서대문,생각대로 서울북부직영4점,09:00~02:00,"월급5,000,000",6분전
대구 달성군,생각대로 현풍지부,10:00~01:00,"일급180,000",7분전
서울 서대문,생각대로 서울북부직영4점,09:00~02:00,"월급5,000,000",7분전
대구 달성군,생각대로 현풍지부,10:00~01:00,"일급180,000",7분전
서울 은평구,생각대로 FDP_은평2점,시간협의,"월급4,000,000",7분전
대구 달성군,생각대로 제이에스JS,09:00~01:00,"일급180,000",8분전
대구 달성군,생각대로 제이에스JS,09:00~02:00,"일급180,000",8분전
대구 달성군,생각대로 제이에스JS,09:00~02:00,"일급180,000",8분전
부산 동래구,생각대로 안락명장2-2호점,시간협의,"건별3,500",9분전
부산 동래구,생각대로 안락명장2-2호점,시간협의,"건별3,500",9분전
서울 송파구,생각대로 송파F지사,시간협의,"월급6,000,000",9분전
부산 동래구,생각대로 안락명장점,시간협의,"건별3,500",9분전
부산 동래구,생각대로 안락명장점,시간협의,"건별3,500",9분전
서울 송파구,생각대로 송파F지사,시간협의,"주급200,000",9분전
서울 송파구,생각대로 송파F지사,시간협의,"건별3,800",9분전
인천 남동구,생각대로 서창중앙지사,10:00~22:00,"월급5,500,000",13분전
인천 남동구,생각대로 서창중앙지사,10:00~22:00,"월급5,500,000",13분전
인천 남동구,생각대로 서창중앙지사,10:00~22:00,"월급5,500,000",15분전
인천 남동구,생각대로 서창중앙지사,10:00~22:00,"월급5,500,000",15분전
인천 남동구,생각대로 서창중앙지사,10:00~22:00,"월급5,500,000",17분전
대구 달서구,생각대로 성서통합센타,09:00~02:00,"시급9,160",18분전
대구 달서구,생각대로 성서통합센타,시간협의,"시급9,160",18분전
경기 고양시,생각대로 장항점,시간협의,"월급5,000,000",19분전
전남 순천시,생각대로 빠른배달대행,시간협의,"일급200,000",24분전
대구 달서구,생각대로 월성점,시간협의,"건별3,600",24분전
