place,title,time,pay,date
경기 오산시,에이비씨마트코리아 ST 오산모다아울렛,10:00~20:30,"월급2,464,040",2분전
부산 전체,에이비씨마트코리아 SP 부산롯데아쿠아,10:00~22:00,"월급2,464,040",2분전
충북 청주시,에이비씨마트코리아 GS 청주성안점,10:00~22:00,"월급2,345,680",2분전
제주 제주시,에이비씨마트코리아 ST 제주롯데마트점,10:00~22:00,"월급2,464,040",4분전
충북 청주시,에이비씨마트코리아 ST 청주에버세이브,시간협의,"월급2,340,000",6분전
충북 청주시,에이비씨마트코리아 ST 청주에버세이브,시간협의,"월급1,543,000",6분전
부산 기장군,에이비씨마트코리아 MS 동부산롯데몰점,10:00~21:00,"월급2,464,040",10분전
부산 기장군,에이비씨마트코리아 MS 동부산롯데몰점,10:00~21:00,"월급2,464,040",11분전
충남 아산시,에이비씨마트코리아 ST 아산풍기점,10:30~21:30,"월급2,345,680",12분전
경기 화성시,에이비씨마트코리아 ST 화성봉담점,10:00~21:00,"월급2,464,040",15분전
부산 사하구,에이비씨마트코리아 MS 하단아트몰링점,10:00~22:00,"월급2,464,040",28분전
경기 수원시,에이비씨마트코리아 GS 광교갤러리아점,09:30~20:00,"월급2,464,040",36분전
경기 시흥시,에이비씨마트코리아 ST 시흥신세계아울,09:30~21:00,"월급2,345,680",37분전
경북 경주시,에이비씨마트코리아 ST 경주노동점,10:00~21:00,"월급2,345,680",39분전
경기 이천시,에이비씨마트코리아 SP 이천점,10:00~22:00,"월급2,345,680",41분전
대구 달서구,에이비씨마트코리아 ST 대구성서점,10:30~21:30,"월급2,345,680",42분전
경남 진주시,에이비씨마트코리아 ST 진주대안점,10:00~22:00,"월급2,464,040",46분전
경남 진주시,에이비씨마트코리아 ST 진주대안점,10:00~22:00,"월급2,464,040",46분전
경북 안동시,에이비씨마트코리아 ST 안동남문점,10:00~21:00,"월급2,345,680",48분전
충북 청주시,에이비씨마트코리아 ST 청주터미널점,10:00~22:00,"월급2,464,040",50분전
충북 청주시,에이비씨마트코리아 ST 청주터미널점,10:00~22:00,"월급2,345,680",50분전
광주 전체,에이비씨마트코리아 MS 광주충장로점,10:00~21:30,"월급2,464,040",51분전
충남 아산시,에이비씨마트코리아 ST 아산풍기점,12:30~21:30,"월급1,597,200",52분전
부산 중구,에이비씨마트코리아 ST 부산광복점,시간협의,"월급2,464,040",53분전
부산 중구,에이비씨마트코리아 ST 부산광복점,시간협의,"월급2,464,040",53분전
경기 수원시,에이비씨마트코리아 MS 수원롯데몰점,10:00~22:00,"월급2,464,040",53분전
부산 부산진,에이비씨마트코리아 GS 부산서면점,시간협의,"월급2,345,680",59분전
전남 여수시,에이비씨마트코리아 ST 여수신기점,10:00~21:00,"월급2,464,040",1시간전
경기 수원시,에이비씨마트코리아 MS 광교롯데아울렛,10:00~21:00,"월급2,464,040",1시간전
부산 전체,에이비씨마트코리아 GS 부산대학로점,시간협의,"월급2,345,680",1시간전
경남 창원시,에이비씨마트코리아 ST 명지스타필드시,10:00~22:00,"월급2,464,040",1시간전
전남 목포시,에이비씨마트코리아 ST 목포하당점,12:30~21:30,"월급2,464,040",1시간전
경기 부천시,에이비씨마트코리아 GS 중동유플렉스점,10:00~22:00,"월급2,464,040",1시간전
경남 진주시,에이비씨마트코리아 GS 진주대안점,10:00~22:00,"월급2,464,040",1시간전
인천 남동구,에이비씨마트코리아 ST 인천논현뉴코아,10:00~21:00,"월급2,207,560",2시간전
인천 남동구,에이비씨마트코리아 ST 인천논현뉴코아,10:00~21:00,"월급2,207,560",2시간전
경북 포항시,에이비씨마트코리아 ST 포항중앙점,10:00~22:00,"월급2,464,040",2시간전
경기 부천시,에이비씨마트코리아 GS 중동유플렉스점,10:00~22:00,"월급2,464,040",2시간전
경기 구리시,에이비씨마트코리아 ST 구리롯데아울렛,10:30~21:00,"월급2,345,680",2시간전
경기 수원시,에이비씨마트코리아 ST 동수원홈플러스,10:00~22:00,"월급2,464,040",2시간전
