place,title,time,pay,date
강원 원주시,CU E양평휴게소원주점,14:00~22:00,"시급9,160",1분전
경북 경주시,CU 경주황성중앙점,22:00~08:00,"시급9,160",2분전
경기 부천시,CU 부천내동점,15:00~22:00,"시급9,160",2분전
경기 양평군,CU E양평휴게소광주점,09:00~17:00,"시급9,160",2분전
전북 군산시,CU 군산산북점,17:00~23:00,"시급9,160",3분전
경기 성남시,CU 분당이매역점,22:00~07:00,"시급9,160",4분전
경기 여주시,CU E여주휴게소인천점,00:00~10:00,"시급9,500",4분전
경북 안동시,CU 옥동삼성점,17:00~24:00,"시급9,160",4분전
서울 강남구,CU 도곡대원점,15:00~22:00,"시급9,160",4분전
서울 강남구,CU 대치선경점,22:00~08:00,"시급9,160",4분전
경기 평택시,CU 평택고덕우체국점,15:00~22:00,"시급9,160",4분전
경기 여주시,CU E양평휴게소광주점,09:00~17:00,"시급9,160",4분전
경기 성남시,CU 분당백현마을점,00:00~07:00,"시급9,160",4분전
경기 성남시,CU 분당백현마을점,00:00~07:00,"시급9,160",5분전
강원 속초시,CU 속초아이점,16:00~23:00,"시급10,000",5분전
경기 파주시,CU 파주우미린점,00:00~07:00,"시급9,160",5분전
충남 천안시,CU 천안성정스타점,22:00~08:00,"시급9,160",5분전
울산 남구,CU 울산달동원룸점,16:00~23:00,"시급9,160",5분전
대구 북구,CU 침산하늘채점,00:00~07:00,"시급9,160",5분전
경기 평택시,CU 평택라페온점,00:00~07:00,"시급9,160",5분전
부산 해운대,CU 반송하나점,시간협의,"시급9,160",6분전
경남 창원시,CU 창원중앙오피스점,23:00~07:00,"시급9,160",6분전
강원 원주시,CU 관설에버빌점,17:00~22:00,"시급9,160",6분전
경기 양평군,CU 양평남한강점,01:00~08:00,"시급9,160",6분전
광주 광산구,CU 장덕미소점,24:00~07:00,"시급9,160",6분전
광주 북구,CU 일곡벽산점,23:00~07:00,"시급9,160",6분전
부산 서구,CU 부산송도가나점,17:00~23:00,"시급9,160",6분전
경기 광주시,CU 광주장지길점,15:00~22:00,"시급9,160",7분전
서울 강동구,CU 고덕베네루체점,18:00~24:00,"시급9,160",7분전
강원 속초시,CU 속초아이점,16:00~23:00,"시급10,000",7분전
대구 달서구,CU 대구상인드림점,17:00~24:00,"시급9,160",7분전
세종 전체,CU 세종연기공단점,08:00~16:00,"시급9,500",7분전
대구 달서구,CU 대구상인드림점,23:00~07:00,"시급9,160",8분전
광주 서구,CU 금호중앙점,09:00~16:00,"시급9,160",8분전
세종 전체,CU 세종연기공단점,08:00~16:00,"시급9,500",8분전
인천 부평구,CU 부평갈산2동점,17:00~23:00,"시급9,160",8분전
경기 광주시,CU 광주장지길점,22:00~03:00,"시급9,160",8분전
경기 고양시,CU 킨텍스3호점,09:00~18:00,"시급9,160",8분전
서울 서대문,CU 연세교차로점,22:00~08:00,"시급9,500",8분전
서울 강동구,CU 선사현대점,시간협의,"시급9,160",8분전
