place,title,time,pay,date
경기 파주시,GS25 금촌2동귀빈점,00:00~09:00,"시급9,160",2분전
경기 광주시,GS25탄벌낙원점,시간협의,"시급9,160",2분전
경기 시흥시,GS25 신규오픈6호점,시간협의,"시급9,160",3분전
경기 광주시,GS25탄벌낙원점,시간협의,"시급9,160",3분전
인천 부평구,GS25부평한양점,00:00~07:00,"시급9,160",3분전
경기 남양주,GS25다산스타점,시간협의,"시급9,160",3분전
서울 은평구,GS25연신내연서점,18:00~23:00,"시급9,160",3분전
세종 새롬동,GS25새롬중앙로점,19:30~00:30,"시급9,160",3분전
대전 중구,GS25대전문화점,시간협의,"시급9,160",3분전
강원 원주시,GS25원주동보점,시간협의,"시급9,160",4분전
경기 남양주,GS25진접유보라점,00:00~06:30,"시급9,160",4분전
경기 시흥시,GS25시흥소래점,시간협의,"시급9,160",4분전
서울 구로구,GS25 구로싸이언점,22:00~08:00,"시급9,200",4분전
인천 중구,GS25 영종신명점,08:00~22:00,"시급9,160",5분전
충남 천안시,GS25 신부센트럴점,22:00~06:00,"시급9,160",5분전
경기 파주시,GS25금촌행복점,00:00~08:00,"시급9,160",5분전
강원 원주시,GS25원주동보점,시간협의,"시급9,160",5분전
경기 부천시,GS25소사안곡로점,17:00~22:00,"시급9,160",5분전
서울 은평구,GS25녹번가로길점,06:00~09:00,"시급9,200",5분전
강원 원주시,GS25원주동보점,시간협의,"시급9,160",5분전
경기 김포시,GS25솔터대양점,23:00~09:00,"시급9,160",5분전
경기 성남시,GS25성남정석점,22:00~08:00,"시급9,300",6분전
인천 미추홀,GS25용마루은서점,23:00~08:00,"시급9,160",6분전
서울 노원구,GS25공릉에이스점,시간협의,"시급9,160",6분전
경북 영주시,GS25영주호텔점,09:00~15:00,"시급9,160",6분전
서울 강남구,GS25 대치삼성점,18:30~23:00,"시급9,160",7분전
서울 영등포,GS25신길대로점,22:00~06:00,"시급9,160",7분전
경기 시흥시,GS25 신규오픈6호점,시간협의,"시급9,160",7분전
부산 강서구,GS25명지대방점,00:00~06:00,"시급9,160",7분전
충남 아산시,GS25둔포푸른점,21:00~06:00,"시급10,000",7분전
경남 진주시,GS25진주중앙점,24:00~07:00,"시급9,200",7분전
경기 화성시,GS25 병점한일점,시간협의,"시급9,200",7분전
충남 천안시,GS25용곡신도점,00:00~08:30,"시급9,160",7분전
강원 평창군,GS25진부중앙점,시간협의,"시급9,160",7분전
강원 원주시,GS25원주비발디점,00:00~06:00,"시급9,160",8분전
충북 청주시,GS25금천뉴타운점,23:30~06:30,"시급9,160",8분전
경남 진주시,GS25진주중앙점,18:00~24:00,"시급9,160",8분전
경기 화성시,GS25동탄공원점,22:30~08:00,"시급9,160",8분전
경남 창원시,GS25 창원양곡점,09:00~16:00,"시급9,160",9분전
인천 미추홀,GS25용마루은서점,23:00~08:00,"시급9,160",9분전
