place,title,time,pay,date
서울 서초구,GS수퍼마켓 서초점,09:00~18:00,"시급9,160",3분전
서울 송파구,GS수퍼마켓 잠실점,09:00~15:30,"시급9,160",4분전
부산 동래구,GS수퍼마켓 사직쌍용점,시간협의,"시급9,160",4분전
서울 서초구,GS수퍼마켓 서초점,09:00~18:00,"시급9,160",4분전
경북 포항시,GS수퍼마켓 포항양덕점,시간협의,"시급9,160",15분전
경기 김포시,GS수퍼마켓 김포한강자이점,08:30~11:30,"시급10,000",18분전
경남 김해시,GS수퍼마켓 김해내동점,15:00~18:00,"시급9,160",21분전
충남 아산시,GS수퍼마켓 아산음봉점,16:00~23:00,"시급9,160",23분전
서울 강남구,GS수퍼마켓 강남대치점,시간협의,"시급9,160",27분전
서울 강남구,GS수퍼마켓 강남대치점,시간협의,"시급9,160",28분전
서울 전체,GS수퍼마켓 신길사러가점,09:00~16:00,"시급9,160",41분전
경북 포항시,GS수퍼마켓 포항죽도점,시간협의,"시급9,160",56분전
부산 금정구,GS수퍼마켓 부산금정점,09:00~12:00,"시급9,160",1시간전
충남 당진시,GS수퍼마켓 당진기지시점C,09:00~18:00,"시급9,160",1시간전
경기 평택시,GS수퍼마켓 평택이충점,시간협의,"시급9,160",2시간전
경기 용인시,GS수퍼마켓 용인동백점,16:00~23:00,"시급9,160",2시간전
경기 파주시,GS수퍼마켓 운정힐스테이트점,08:30~10:30,"시급9,160",2시간전
인천 서구,GS수퍼마켓 가정루원시티점,16:00~23:00,"시급9,160",2시간전
인천 서구,GS수퍼마켓 가정루원시티점,16:00~23:00,"시급9,160",2시간전
경남 창원시,GS수퍼마켓 진해풍호점,08:00~13:00,"시급9,160",2시간전
경남 창원시,GS수퍼마켓 진해풍호점,시간협의,"시급9,160",2시간전
경북 포항시,GS수퍼마켓 포항양덕점,시간협의,"시급9,160",2시간전
경남 창원시,GS수퍼마켓 창원유니시티점,18:00~22:00,"시급9,160",2시간전
강원 원주시,GS수퍼마켓 원주혁신점,시간협의,"시급10,000",2시간전
충남 공주시,GS수퍼마켓 공주신관점,09:00~11:30,"시급9,160",3시간전
서울 강남구,GS수퍼마켓 대치사거리점,20:00~23:00,"시급9,500",3시간전
충북 청주시,GS수퍼마켓 청주테크노점,16:00~23:00,"월급1,612,160",3시간전
충북 청주시,GS수퍼마켓 청주주성점,07:30~13:00,"월급1,584,680",3시간전
충북 청주시,GS수퍼마켓 청주오창점,08:00~16:00,"월급2,200,000",3시간전
서울 송파구,GS수퍼마켓 송파점,09:00~18:00,"시급9,160",3시간전
인천 연수구,GS수퍼마켓 송도마스터뷰점,09:00~18:00,"시급9,160",3시간전
서울 강남구,GS수퍼마켓 대치사거리점,08:00~16:00,"시급9,500",3시간전
부산 강서구,GS수퍼마켓 명지국제점,09:00~23:00,"시급9,160",3시간전
부산 강서구,GS수퍼마켓 명지국제점,09:00~16:00,"시급9,160",3시간전
경북 문경시,GS수퍼마켓 문경점,08:30~15:00,"시급9,160",3시간전
경북 포항시,GS수퍼마켓 포항양덕점,시간협의,"시급9,160",3시간전
서울 서대문,GS수퍼마켓 남가좌디엠씨점,17:00~23:00,"시급9,160",3시간전
충북 충주시,GS수퍼마켓 충주연수점,시간협의,"시급9,160",3시간전
부산 동래구,GS수퍼마켓 사직쌍용점,시간협의,"시급9,160",3시간전
부산 사상구,GS수퍼마켓 엄궁점F,14:00~22:00,"시급9,160",3시간전
