place,title,time,pay,date
서울 강동구,KFC 천호역,시간협의,"시급9,160",2분전
경기 하남시,KFC 하남시청,시간협의,"시급9,160",11분전
경기 광명시,KFC 철산역,시간협의,"시급9,160",22분전
서울 중랑구,KFC 망우동,시간협의,"시급9,160",23분전
강원 춘천시,KFC 춘천석사,시간협의,"시급9,160",26분전
강원 춘천시,KFC 춘천석사,시간협의,"시급9,160",27분전
서울 중랑구,KFC 망우동,시간협의,"시급9,160",30분전
경기 김포시,KFC 김포한강,17:00~23:00,"시급9,160",31분전
경북 포항시,KFC 포항양덕DT,09:30~17:00,"시급9,160",33분전
서울 중랑구,KFC 사가정,시간협의,"시급9,160",33분전
서울 중랑구,KFC 사가정,시간협의,"시급9,160",35분전
경기 광명시,KFC 철산역,시간협의,"시급9,160",41분전
서울 영등포,KFC 동여의도,시간협의,"시급9,160",48분전
경기 파주시,KFC 야당역,17:00~01:00,"시급9,160",48분전
대전 서구,KFC 대전시청역,시간협의,"연봉30,700,000",55분전
대전 서구,KFC 대전시청역,시간협의,"시급9,160",1시간전
서울 종로구,KFC 광화문,17:00~23:00,"시급9,160",1시간전
서울 노원구,KFC 중계은행사거리,시간협의,"시급9,160",1시간전
부산 수영구,KFC 경성대,시간협의,"시급9,160",1시간전
광주 광산구,KFC 광주수완,시간협의,"시급9,160",1시간전
서울 전체,KFC 일원동,시간협의,"시급9,160",2시간전
서울 종로구,KFC 광화문,17:00~23:00,"시급9,160",2시간전
제주 서귀포,KFC 서귀포중문DT,시간협의,"시급9,160",2시간전
경기 안성시,KFC 안성중앙로,시간협의,"시급9,160",2시간전
서울 노원구,KFC 중계은행사거리,시간협의,"시급9,160",2시간전
경기 하남시,KFC 미사역,시간협의,"시급9,160",3시간전
서울 전체,KFC 당산역,시간협의,"시급9,160",3시간전
충남 천안시,KFC 천안불당,시간협의,"시급9,160",3시간전
경기 광명시,KFC 철산역,시간협의,"시급9,160",3시간전
울산 남구,KFC 울산현대,시간협의,"시급9,160",3시간전
서울 중구,KFC 충무로역,시간협의,"시급9,160",3시간전
경기 구리시,KFC 구리돌다리,시간협의,"시급9,160",4시간전
서울 전체,KFC 일원동,시간협의,"시급9,160",4시간전
경기 하남시,KFC 미사역,시간협의,"시급9,160",4시간전
대전 서구,KFC 대전시청역,시간협의,"시급9,160",4시간전
충북 청주시,KFC 청주사창사거리,시간협의,"시급9,160",4시간전
경기 남양주,KFC 덕소,시간협의,"시급9,160",4시간전
경기 하남시,KFC 미사역,시간협의,"시급9,160",4시간전
서울 마포구,KFC 홍익대,시간협의,"시급9,160",5시간전
충북 청주시,KFC 청주메가폴리스,시간협의,"시급9,160",5시간전
