place,title,time,pay,date
경기 부천시,교촌치킨 복사골,18:00~24:00,"시급9,160",3분전
경기 전체,교촌치킨 화성 동탄1호,12:00~12:00,"월급3,200,000",4분전
대구 북구,교촌치킨 대구 복현1호,시간협의,"월급1,914,440",5분전
대구 북구,교촌치킨 대구 복현1호,18:00~24:00,"시급9,160",6분전
서울 강동구,교촌치킨 강일점,18:00~24:00,"시급12,000",9분전
서울 강동구,교촌치킨 강일점,18:00~24:00,"시급12,000",10분전
서울 강동구,교촌치킨 강일점,18:00~21:00,"시급10,000",11분전
서울 강동구,교촌치킨 강일점,18:00~21:00,"시급10,000",11분전
서울 마포구,교촌치킨 서울 망원2동,18:00~00:00,"시급13,000",30분전
서울 강동구,교촌치킨 서울동부 상일점,17:00~11:00,"시급12,000",31분전
서울 마포구,교촌치킨 서울 망원2동,18:00~00:00,"시급13,000",31분전
서울 마포구,교촌치킨 서울 망원2동,18:00~00:00,"시급13,000",31분전
서울 강서구,교촌치킨 서울 목동오거리,12:00~24:00,"월급3,200,000",31분전
서울 마포구,교촌치킨 서울 망원2동,18:00~00:00,"시급13,000",32분전
전북 전주시,교촌치킨 에코시티,17:00~22:30,"시급10,000",32분전
경기 시흥시,교촌치킨 경기서부 배곧신도시2호점,17:00~22:00,"시급9,500",33분전
서울 강동구,교촌치킨 서울동부 상일점,17:00~23:00,"시급12,000",34분전
부산 북구,교촌치킨 덕천역,시간협의,"시급9,160",34분전
전북 전주시,교촌치킨 에코시티,18:00~23:00,"시급9,160",35분전
경남 창원시,교촌치킨 마산현동,17:00~22:00,"시급10,500",35분전
충북 청주시,교촌치킨 용암2호,시간협의,"시급9,700",36분전
충남 아산시,교촌치킨 탕정지중해,05:00~12:30,"월급2,500,000",39분전
부산 수영구,교촌치킨 부산동부 광안1호점,시간협의,"시급9,500",41분전
부산 수영구,교촌치킨 부산동부 광안1호점,시간협의,"시급10,000",41분전
부산 수영구,교촌치킨 부산동부 광안1호점,시간협의,"시급9,500",41분전
부산 수영구,교촌치킨 부산동부 광안1호점,시간협의,"시급10,000",41분전
부산 수영구,교촌치킨 부산동부 광안1호점,시간협의,"시급9,500",41분전
경남 양산시,교촌치킨 부산남북부 물금점,17:00~23:00,"시급9,160",42분전
강원 강릉시,교촌치킨 강릉 교동1호,시간협의,"시급10,000",43분전
전북 익산시,교촌치킨 동산,시간협의,"시급10,500",44분전
전북 익산시,교촌치킨 동산,시간협의,"시급10,500",45분전
서울 송파구,교촌치킨 위례송파,17:00~24:00,"시급10,500",49분전
서울 금천구,교촌치킨 시흥1호,18:00~22:00,"시급9,160",50분전
충남 아산시,교촌치킨 탕정지중해,05:00~12:30,"월급2,500,000",55분전
경북 경산시,교촌치킨 경산 경산오거리,10:00~12:00,"시급9,160",57분전
대구 북구,교촌치킨 대구 복현1호,18:00~24:00,"시급9,160",1시간전
서울 강서구,교촌치킨 서울서부 목3동점,18:00~24:00,"시급10,000",1시간전
서울 양천구,교촌치킨 서울서부 목3동점,18:00~24:00,"시급10,000",1시간전
서울 양천구,교촌치킨 서울서부 목3동점,18:00~24:00,"시급10,000",1시간전
서울 강동구,교촌치킨 서울동부 명일1호점,17:00~23:30,"시급10,000",1시간전
