place,title,time,pay,date
경기 부천시,목구멍 부천점,19:00~24:00,"시급10,000",4분전
전남 순천시,목구멍,17:00~24:00,"시급11,000",13분전
부산 중구,목구멍 남포점,19:00~22:00,"시급10,000",38분전
경기 남양주,목구멍 남양주점,시간협의,"월급2,900,000",59분전
부산 강서구,목구멍 명지점,시간협의,"시급10,000",2시간전
경기 남양주,목구멍 남양주점,시간협의,"월급2,900,000",3시간전
경기 남양주,목구멍 남양주점,시간협의,"월급2,900,000",3시간전
경기 남양주,목구멍 남양주점,시간협의,"월급2,900,000",3시간전
부산 중구,목구멍,18:00~22:00,"시급10,000",3시간전
충남 서산시,목구멍 서산점,14:00~24:00,"월급3,000,000",4시간전
경북 구미시,목구멍 구미점,14:00~00:00,"시급10,500",4시간전
경기 남양주,목구멍 남양주점,시간협의,"월급2,900,000",4시간전
대전 중구,목구멍 대전대흥점,시간협의,"시급9,500",4시간전
경기 안성시,목구멍 안성점,17:00~22:00,"시급11,000",5시간전
경기 파주시,목구멍 파주점,시간협의,"월급3,000,000",5시간전
부산 동구,목구멍 초량점,15:00~24:00,"월급2,600,000",5시간전
경기 오산시,목구멍 오산점,18:00~22:00,"시급11,000",6시간전
경기 오산시,목구멍 오산점,18:00~22:00,"시급11,000",6시간전
경기 오산시,목구멍 오산점,18:00~22:00,"시급11,000",6시간전
부산 수영구,목구멍 수영점,18:00~21:00,"시급9,500",6시간전
부산 연제구,목구멍,18:00~21:00,"시급10,000",8시간전
부산 중구,목구멍,18:00~22:00,"시급10,000",8시간전
부산 중구,목구멍,18:00~22:00,"시급10,000",8시간전
부산 연제구,목구멍,18:00~21:00,"시급10,000",8시간전
경기 안성시,목구멍 안성점,15:00~22:00,"시급10,500",18시간전
경기 김포시,목구멍 김포직영점,시간협의,"월급2,800,000",04/27
울산 남구,목구멍울산삼산점,16:00~01:30,"월급2,600,000",04/27
울산 중구,목구멍 울산병영점,시간협의,"월급2,400,000",04/26
대전 유성구,목구멍 대전관평점,시간협의,"월급2,400,000",04/26
부산 강서구,목구멍 명지점,시간협의,"시급10,000",04/26
부산 중구,목구멍,18:00~22:00,"시급10,000",04/26
부산 연제구,목구멍,18:00~21:00,"시급10,000",04/26
부산 연제구,목구멍,18:00~21:00,"시급10,000",04/25
