place,title,time,pay,date
경기 파주시,배스킨라빈스 운정야당역점,18:00~23:00,"시급9,160",4분전
경기 동두천,베스킨라빈스동두천내행점,17:00~23:00,"시급9,160",8분전
경기 고양시,배스킨라빈스고양능곡,19:00~23:00,"시급9,200",9분전
서울 송파구,배스킨라빈스,15:00~23:00,"월급2,100,000",9분전
전북 군산시,배스킨라빈스군산수송점,시간협의,"시급9,160",11분전
충남 청양군,배스킨라빈스,시간협의,"시급9,200",19분전
경기 수원시,배스킨라빈스 인계로데오점,시간협의,"시급9,160",19분전
경북 포항시,배스킨라빈스,19:00~23:00,"시급9,160",20분전
경기 평택시,배스킨라빈스 평택지제더샵점,시간협의,"시급9,160",21분전
경기 수원시,배스킨라빈스 인계로데오점,시간협의,"시급9,160",21분전
경기 화성시,베스킨라빈스화성남양점,18:00~22:00,"시급9,160",21분전
서울 금천구,배스킨라빈스석수역점,13:30~22:30,"시급11,000",35분전
인천 남동구,배스킨라빈스 인천관교점,13:00~18:00,"시급9,160",37분전
인천 서구,배스킨라빈스 인천 가정점,시간협의,"시급9,160",38분전
서울 전체,배스킨라빈스 타임스퀘어점,17:00~22:00,"시급9,160",39분전
광주 서구,배스킨라빈스 광주마재점,시간협의,"시급9,160",42분전
경북 김천시,배스킨라빈스김천율곡,시간협의,"시급9,160",52분전
서울 노원구,배스킨라빈스(월계이마트점),시간협의,"시급9,160",53분전
인천 부평구,배스킨라빈스부평구청점,시간협의,"시급9,160",54분전
경북 김천시,배스킨라빈스김천율곡,10:00~16:00,"시급9,160",55분전
서울 서초구,배스킨라빈스 방배역점,18:30~23:00,"시급9,200",1시간전
서울 관악구,배스킨라빈스 봉천역점,시간협의,"시급9,200",1시간전
인천 미추홀,배스킨라빈스 인천도화점,19:00~23:00,"시급9,160",1시간전
인천 연수구,배스킨라빈스 송도퍼스트파크,시간협의,"시급9,160",1시간전
경기 시흥시,배스킨라빈스 시흥시청점,시간협의,"시급9,160",1시간전
인천 서구,배스킨라빈스인천청라점,19:00~24:00,"시급9,160",1시간전
경기 용인시,베스킨라빈스,시간협의,"시급9,160",1시간전
서울 성동구,배스킨라빈스 옥수역점,18:00~23:00,"시급9,160",1시간전
서울 성동구,배스킨라빈스 옥수역점,18:00~23:00,"시급9,160",1시간전
인천 남동구,배스킨라빈스만수시장점,14:00~17:00,"시급9,160",1시간전
전남 여수시,배스킨라빈스,10:00~17:00,"시급9,160",1시간전
서울 성동구,배스킨라빈스 옥수역점,18:00~23:00,"시급9,160",1시간전
울산 남구,베스킨라빈스,시간협의,"시급9,160",2시간전
경기 광명시,배스킨라빈스광명소하이마트,시간협의,"시급9,160",2시간전
경기 부천시,배스킨라빈스 부천역북부,시간협의,"시급9,160",2시간전
경기 수원시,베스킨라빈스수원천천점,10:00~17:00,"시급9,160",2시간전
충북 충주시,배스킨라빈스 충주국원점,18:00~24:00,"시급9,160",2시간전
서울 구로구,배스킨라빈스구로고척점,시간협의,"시급9,160",2시간전
대전 유성구,베스킨라빈스대전노은,시간협의,"시급9,160",2시간전
광주 남구,배스킨라빈스 광주주월점,14:30~18:30,"시급9,160",2시간전
