place,title,time,pay,date
경기 파주시,더본코리아 돌배기집 파주운정산내점,10:00~15:00,"시급10,000",2분전
경기 용인시,더본코리아 롤링파스타 광교상현역점,11:00~21:00,"시급9,160",3분전
서울 강남구,홍콩반점0410 선릉역점,10:00~22:00,"월급2,800,000",3분전
경기 시흥시,더본코리아 한신포차 시흥대야점,시간협의,"시급10,000",4분전
인천 중구,더본코리아 롤링파스타 인천신포시장점,17:00~21:30,"시급9,160",7분전
경기 하남시,롤링파스타 미사강변점,시간협의,"월급2,900,000",8분전
경남 거제시,홍콩반점0410 거제고현터미널점,11:30~15:30,"시급9,160",8분전
경남 진주시,더본코리아 새마을식당 진주하대점,시간협의,"시급9,160",8분전
대구 북구,더본코리아 연돈볼카츠 대구칠곡운암점,시간협의,"시급9,160",9분전
대구 북구,더본코리아 연돈볼카츠 대구칠곡운암점,시간협의,"시급9,160",9분전
대전 서구,더본코리아 역전우동0410 대전탄방역,12:00~22:30,"시급10,500",9분전
경남 진주시,더본코리아 새마을식당 진주하대점,시간협의,"시급9,160",9분전
인천 연수구,홍콩반점0410 인천연수점,시간협의,"시급9,160",10분전
대구 달서구,롤링파스타 대구월성점,17:00~21:00,"시급9,160",10분전
경남 거제시,홍콩반점0410 거제고현터미널점,17:00~20:30,"시급9,160",10분전
대구 달서구,롤링파스타 대구월성점,11:00~14:30,"시급9,160",11분전
경기 수원시,더본코리아 롤링파스타 수원역점,13:00~17:00,"시급9,200",11분전
강원 춘천시,더본코리아 백스비어 춘천스무숲점,18:00~01:00,"월급2,000,000",12분전
대전 중구,더본코리아 연돈볼카츠 대전은행점,05:00~10:00,"시급9,160",12분전
경기 시흥시,더본코리아 역전우동0410 시흥은행점,시간협의,"월급2,400,000",12분전
경기 평택시,더본코리아 롤링파스타 평택역점,16:00~21:00,"시급9,160",13분전
서울 전체,더본코리아 미정국수0410 신촌지점,11:00~21:00,"월급2,300,000",13분전
서울 전체,더본코리아 미정국수0410 신촌지점,11:00~21:00,"월급2,300,000",13분전
경남 김해시,더본코리아 홍콩반점0410 김해아이스,11:00~22:00,"월급3,000,000",14분전
서울 전체,더본코리아 한신포차 신촌점,17:00~02:00,"월급2,420,000",14분전
서울 전체,더본코리아 한신포차 신촌점,17:00~02:00,"월급2,420,000",14분전
강원 춘천시,더본코리아 백스비어 춘천스무숲점,19:00~11:00,"시급9,300",14분전
서울 동대문,더본코리아 홍콩반점0410 답십리역점,10:00~22:00,"월급2,800,000",15분전
서울 강서구,홍콩반점0410 양천구청점,10:00~22:00,"월급3,000,000",16분전
서울 전체,더본코리아 백스비어 사당역남현점,시간협의,"시급9,500",17분전
경남 김해시,더본코리아 롤링파스타 김해삼계점,17:00~21:30,"시급9,160",19분전
인천 남동구,더본코리아 홍콩반점0410 인천구월점,16:00~21:00,"시급9,160",19분전
경기 수원시,더본코리아 홍콩반점0410 수원역점,10:30~14:30,"시급10,000",19분전
충북 청주시,더본코리아 새마을식당 청주용암점,시간협의,"월급2,710,000",19분전
서울 양천구,더본코리아 홍콩반점0410 목동파리공,11:30~15:30,"시급9,500",19분전
경기 시흥시,더본코리아 역전우동0410 시흥은행점,시간협의,"월급2,400,000",20분전
대구 중구,롤링파스타 대구동성로점,10:00~15:00,"시급9,160",21분전
경기 수원시,더본코리아 홍콩반점0410 수원역점,10:00~21:00,"월급2,800,000",22분전
인천 남동구,더본코리아 홍콩반점0410 인천구월점,10:00~22:00,"월급2,600,000",23분전
전북 전주시,더본코리아 역전우동0410 전주예수병,16:30~23:00,"시급9,160",23분전
