place,title,time,pay,date
서울 은평구,버거킹 종로구청점,08:00~01:00,"시급9,160",1분전
서울 용산구,버거킹 종로구청점,08:00~01:00,"시급9,160",1분전
서울 강서구,버거킹 가양역점,시간협의,"시급9,160",1분전
경기 수원시,버거킹 아주대삼거리점,시간협의,"시급9,160",2분전
서울 강서구,버거킹 가양역점,시간협의,"시급9,160",2분전
서울 금천구,버거킹 가산이앤씨7점,시간협의,"시급9,160",2분전
경기 구리시,버거킹 구리갈매점,시간협의,"시급9,160",2분전
서울 금천구,버거킹 가산이앤씨7점,시간협의,"시급9,160",2분전
서울 금천구,버거킹 가산이앤씨7점,시간협의,"시급9,160",2분전
서울 금천구,버거킹 가산이앤씨7점,시간협의,"시급9,160",3분전
울산 남구,울산무거점,15:30~20:00,"시급9,160",3분전
서울 노원구,버거킹 종로구청점,08:00~01:00,"시급9,160",3분전
서울 광진구,버거킹 군자능동점,15:00~21:00,"시급9,160",4분전
서울 전체,버거킹 구의점,시간협의,"시급9,160",7분전
서울 광진구,버거킹 군자능동점,09:00~14:30,"시급9,160",8분전
경남 창원시,버거킹 마산내서삼계SK점,10:30~17:00,"시급9,160",8분전
대구 북구,버거킹 대구연경점(S),시간협의,"시급9,160",11분전
대구 북구,버거킹 대구연경점(S),시간협의,"시급9,160",11분전
울산 북구,버거킹 울산호계DT점,시간협의,"시급9,160",13분전
충남 서산시,버거킹 서산호수공원점(S),15:00~22:30,"시급9,160",15분전
충남 서산시,버거킹 서산호수공원점(S),15:00~22:30,"시급9,160",16분전
경기 오산시,버거킹 오산세교에스오일점,시간협의,"시급9,160",16분전
충남 서산시,버거킹 서산호수공원점(S),08:30~23:00,"시급9,160",17분전
전북 군산시,버거킹 군산조촌DT점,시간협의,"시급9,160",17분전
경남 창원시,버거킹 창원광장점,시간협의,"시급9,160",18분전
경남 창원시,버거킹 창원광장점,시간협의,"시급9,160",18분전
경남 창원시,버거킹 창원광장점,시간협의,"시급9,160",18분전
경남 창원시,버거킹 창원광장점,시간협의,"시급9,160",18분전
경기 안양시,평촌학원가점,시간협의,"시급9,160",22분전
경기 안산시,버거킹 안산고잔점,16:30~22:30,"시급9,160",23분전
부산 기장군,버거킹 부산기장DT점,18:00~24:00,"시급9,160",26분전
부산 기장군,버거킹 부산기장DT점,18:00~24:00,"시급9,160",27분전
부산 북구,버거킹 부산화명점,시간협의,"시급9,160",29분전
서울 전체,버거킹 시청역점,시간협의,"시급9,160",30분전
경기 안산시,버거킹 송산그린시티점,16:00~23:30,"시급9,160",30분전
경기 수원시,수원영통점,시간협의,"시급9,160",31분전
경남 양산시,버거킹 양산석산SK점,13:00~19:00,"시급9,160",31분전
경북 구미시,버거킹 구미이마트점,14:30~20:00,"시급9,160",31분전
부산 금정구,버거킹 부산금정오일뱅크점,시간협의,"시급9,160",31분전
경남 양산시,버거킹 양산석산SK점,13:00~19:00,"시급9,160",31분전
