place,title,time,pay,date
인천 남동구,소소떡볶이  구월점,시간협의,"시급9,300",21분전
인천 남동구,소소떡볶이  구월점,시간협의,"시급9,300",22분전
인천 남동구,소소떡볶이  구월점,시간협의,"시급9,300",23분전
인천 남동구,소소떡볶이  구월점,시간협의,"시급9,300",23분전
서울 강남구,소소떡볶이 소소떡볶이 강남직영점,시간협의,"월급2,800,000",31분전
서울 강남구,소소떡볶이 소소떡볶이 강남직영점,시간협의,"월급2,800,000",32분전
서울 성동구,소소떡볶이 소소떡볶이 강남직영점,시간협의,"월급2,800,000",32분전
서울 중구,소소떡볶이 소소떡볶이 신당본점,시간협의,"월급2,800,000",36분전
서울 중구,소소떡볶이 소소떡볶이 신당본점,시간협의,"월급2,800,000",38분전
서울 중구,소소떡볶이 소소떡볶이 신당본점,시간협의,"월급2,800,000",38분전
서울 중구,소소떡볶이 소소떡볶이 신당본점,시간협의,"월급2,800,000",6시간전
인천 남동구,소소떡볶이  구월점,시간협의,"시급9,300",7시간전
서울 노원구,소소떡볶이 소소떡볶이 중계점,18:30~23:30,"시급9,500",8시간전
서울 노원구,소소떡볶이 소소떡볶이 중계점,18:30~23:30,"시급9,500",8시간전
서울 노원구,소소떡볶이 소소떡볶이 중계점,18:30~23:30,"시급9,500",8시간전
서울 성동구,소소떡볶이 소소떡볶이 강남직영점,시간협의,"월급2,800,000",04/26
