place,title,time,pay,date
경기 안양시,스타벅스 평촌호계,시간협의,"시급10,000",1분전
서울 전체,스타벅스 경희궁로,06:30~20:30,"시급10,000",1분전
경기 남양주,스타벅스 리버사이드팔당DTR,시간협의,"시급10,000",4분전
경북 구미시,스타벅스 구미도량DT,07:30~23:00,"시급10,000",5분전
충남 서산시,스타벅스 서산예천DT,06:30~22:00,"시급10,000",8분전
전북 군산시,스타벅스 군산나운DT,시간협의,"시급10,000",10분전
경기 평택시,스타벅스 평택죽백DT,시간협의,"시급10,000",12분전
서울 강남구,스타벅스 삼성동,06:30~21:00,"시급10,000",12분전
경기 김포시,스타벅스 김포장기,시간협의,"시급10,000",13분전
전북 전주시,스타벅스 전주서신,시간협의,"시급10,000",14분전
전남 순천시,스타벅스 순천이마트,시간협의,"시급10,000",16분전
서울 강남구,스타벅스 을지병원사거리,시간협의,"시급10,000",18분전
경남 사천시,스타벅스 경남사천DT,시간협의,"시급10,000",22분전
전국 전체,스타벅스 야탑역사거리,시간협의,"시급10,000",24분전
경기 이천시,스타벅스 이천증포DT,시간협의,"시급10,000",25분전
세종 도담동,스타벅스 세종충남대학교병원,06:30~21:30,"시급10,000",25분전
경북 구미시,스타벅스 구미문성DT,시간협의,"시급10,000",30분전
경북 포항시,스타벅스 포항죽도DT,시간협의,"시급10,000",35분전
경기 성남시,스타벅스 남한산성입구역,시간협의,"시급10,000",35분전
대전 전체,스타벅스 대전신탄진DT,06:00~22:00,"시급10,000",35분전
세종 전체,스타벅스 세종소담,07:00~22:00,"시급10,000",41분전
서울 전체,스타벅스 낙성대역,07:00~22:00,"시급10,000",46분전
서울 마포구,스타벅스 연세백양로,시간협의,"시급10,000",47분전
부산 서구,스타벅스 부산송도해수욕장,시간협의,"시급10,000",52분전
충북 청주시,스타벅스 현대충청,시간협의,"시급10,000",54분전
경기 평택시,스타벅스 평택험프리,06:00~19:30,"시급10,000",55분전
대전 유성구,스타벅스 대전테크노밸리,시간협의,"시급10,000",56분전
경기 용인시,스타벅스 용인마평DT,시간협의,"시급10,000",57분전
경기 김포시,스타벅스 풍무역DT,시간협의,"시급10,000",1시간전
충북 전체,스타벅스 청주터미널,시간협의,"시급10,000",1시간전
경남 김해시,스타벅스 김해율하신도시,07:30~22:30,"시급10,000",1시간전
경기 용인시,스타벅스 용인상하DT,시간협의,"시급10,000",1시간전
광주 남구,스타벅스 광주서문대로,시간협의,"시급10,000",1시간전
제주 제주시,스타벅스 제주함덕,시간협의,"시급10,000",1시간전
대전 중구,스타벅스 대전유천DT,시간협의,"시급10,000",2시간전
전북 전체,스타벅스 전북대,07:30~21:30,"시급10,000",2시간전
경기 용인시,스타벅스 용인죽전역R,시간협의,"시급10,000",2시간전
대구 수성구,스타벅스 대구시지,06:30~23:00,"시급10,000",2시간전
충남 서산시,스타벅스 서산예천DT,06:30~22:00,"시급10,000",2시간전
대구 전체,스타벅스 대구두류DT,시간협의,"시급10,000",2시간전
