place,title,time,pay,date
부산 북구,써브웨이 부산화명점,11:00~17:00,"시급9,160",7분전
인천 부평구,써브웨이 인천성모병원점,시간협의,"시급9,160",9분전
서울 종로구,써브웨이 경복궁,11:00~14:00,"시급9,160",32분전
서울 전체,써브웨이 충무로점,시간협의,"시급9,160",32분전
서울 전체,서브웨이 노원점,17:00~22:30,"시급10,500",38분전
경남 양산시,써브웨이 남양산점,17:30~21:30,"시급9,160",41분전
부산 전체,써브웨이 부산좌동점,시간협의,"월급2,200,000",42분전
경기 군포시,써브웨이 AK플라자금정점,시간협의,"월급2,200,000",43분전
부산 금정구,써브웨이 부산대점,09:00~13:30,"시급9,160",46분전
서울 강서구,써브웨이 양천향교역점,시간협의,"시급9,160",48분전
서울 마포구,써브웨이 홍대점,12:00~16:00,"시급9,200",49분전
서울 영등포,써브웨이 선유도역점,16:00~22:00,"시급9,160",51분전
서울 성동구,써브웨이 성수역점,07:00~10:00,"시급9,160",53분전
충북 청주시,써브웨이 청주분평점,시간협의,"연봉27,000,000",54분전
대전 서구,써브웨이 대전시청,시간협의,"시급9,160",54분전
서울 성동구,써브웨이 성수역점,11:00~18:00,"시급9,160",55분전
경남 양산시,써브웨이 경남양산덕계메가마트점,11:00~14:30,"시급9,160",58분전
대전 대덕구,써브웨이 대전한남대,시간협의,"시급9,160",1시간전
경기 광명시,써브웨이 광명일직점,17:00~22:30,"시급9,160",1시간전
충남 천안시,써브웨이 천안신부점,17:00~23:30,"시급9,160",1시간전
서울 영등포,써브웨이국회의사당점,시간협의,"시급11,050",2시간전
서울 영등포,써브웨이 선유도역점,16:00~22:00,"시급9,160",2시간전
경남 거제시,써브웨이 거제아주점,시간협의,"시급9,160",2시간전
경기 평택시,써브웨이 평택고덕점,06:30~14:00,"시급10,000",2시간전
서울 노원구,써브웨이 광운대,10:00~15:00,"시급9,160",2시간전
경기 평택시,써브웨이 평택고덕점,08:00~22:30,"시급9,300",2시간전
전국 전체,써브웨이 광명철산역점,08:00~15:00,"시급9,160",2시간전
경남 거제시,써브웨이 거제고현점,시간협의,"시급9,160",2시간전
경남 진주시,써브웨이 진주경상대 칠암캠퍼스점,시간협의,"시급9,160",2시간전
경기 성남시,써브웨이 단대오거리점,11:00~17:00,"시급9,160",3시간전
부산 중구,서브웨이 롯데백화점 광복점,시간협의,"시급9,160",3시간전
경기 양주시,써브웨이,시간협의,"시급9,160",3시간전
경기 성남시,써브웨이 성남신흥점,17:00~22:30,"시급9,200",3시간전
경남 진주시,써브웨이진주경상대점,07:30~13:00,"시급9,160",3시간전
경기 성남시,써브웨이 성남신흥점,10:00~14:00,"시급9,160",3시간전
경기 수원시,써브웨이 아주대점,07:30~15:30,"시급11,000",3시간전
서울 강남구,써브웨이선정릉역점,시간협의,"시급9,700",3시간전
서울 강남구,써브웨이 신사점,11:00~17:00,"시급9,200",3시간전
전남 나주시,써브웨이 나주혁신점,16:00~22:00,"시급9,160",3시간전
경기 고양시,써브웨이 고양원흥점,시간협의,"시급10,000",3시간전
