place,title,time,pay,date
서울 강동구,씨제이올리브영(주)강일동점,16:00~20:30,"시급9,160",1분전
경기 수원시,올리브영 수원 타운,17:30~23:00,"시급9,160",3분전
경기 광명시,씨제이올리브영(주) 광명소하점,11:00~18:00,"시급9,160",4분전
서울 광진구,씨제이올리브영(주),09:30~16:30,"시급9,160",5분전
경기 광명시,씨제이올리브영(주) 광명소하점,11:00~18:00,"시급9,160",6분전
경기 광명시,씨제이올리브영(주) 광명소하점,11:00~18:00,"시급9,160",7분전
충남 홍성군,씨제이올리브영(주),15:30~21:30,"시급9,160",11분전
서울 중구,CJ올리브영(주) 두타점,10:00~14:30,"시급9,160",12분전
서울 송파구,씨제이올리브영(주),16:00~22:00,"시급9,160",19분전
서울 전체,올리브영 서초대로점,시간협의,"시급9,160",20분전
충북 청주시,올리브영 청주용암점,09:30~16:00,"시급9,160",21분전
서울 송파구,씨제이올리브영(주),16:00~22:00,"시급9,160",21분전
서울 서초구,씨제이올리브영(주) 신논현점,시간협의,"시급9,160",30분전
대구 수성구,씨제이올리브영(주),16:00~22:00,"시급9,160",36분전
서울 중구,올리브영 명동 플래그십,시간협의,"시급9,160",38분전
서울 강남구,씨제이올리브영(주),09:30~16:00,"시급9,160",40분전
서울 서초구,씨제이올리브영(주) 강남엔터식스점,10:00~16:30,"시급9,160",49분전
세종 전체,씨제이올리브영(주) 세종아름점,16:30~22:00,"시급9,160",55분전
서울 영등포,CJ올리브영 타임스퀘어아트리움점,15:30~22:00,"시급9,160",59분전
서울 강서구,씨제이올리브영(주),16:00~22:00,"시급9,160",1시간전
서울 전체,올리브영 서초대로점,시간협의,"시급9,160",1시간전
서울 용산구,씨제이올리브영(주) 이태원중앙점,12:00~20:00,"시급9,160",1시간전
대구 동구,씨제이올리브영(주),12:00~17:30,"시급9,160",1시간전
경기 평택시,씨제이올리브영(주),09:30~16:30,"시급9,160",1시간전
경기 평택시,씨제이올리브영(주),17:00~22:30,"시급9,160",1시간전
서울 용산구,씨제이올리브영(주) 이태원중앙점,16:00~23:00,"시급9,160",1시간전
대전 유성구,씨제이올리브영(주),15:30~21:00,"시급9,160",1시간전
대전 유성구,씨제이올리브영(주),10:00~17:00,"시급9,160",1시간전
대전 유성구,씨제이올리브영(주),시간협의,"시급9,160",1시간전
충북 청주시,씨제이올리브영(주),17:00~22:00,"시급9,160",1시간전
서울 서초구,씨제이올리브영(주) 신논현점,시간협의,"시급9,160",1시간전
경기 수원시,올리브영 수원 타운,17:30~23:00,"시급9,160",1시간전
서울 강남구,씨제이올리브영(주) 학동역점,08:00~15:00,"시급9,160",2시간전
경북 포항시,올리브영 포항장성점,15:30~20:30,"시급9,160",2시간전
충남 천안시,씨제이올리브영 천안신불당점,09:30~15:00,"시급9,160",2시간전
충북 청주시,씨제이올리브영(주),13:30~20:00,"시급9,160",2시간전
충북 청주시,씨제이올리브영(주),09:30~15:30,"시급9,160",2시간전
전북 익산시,씨제이올리브영(주) 익산모현점,시간협의,"시급9,160",2시간전
세종 종촌동,씨제이올리브영 세종몰리브점,16:00~22:00,"시급9,160",2시간전
경기 수원시,올리브영 수원 타운,17:30~23:00,"시급9,160",2시간전
