place,title,time,pay,date
경북 포항시,웅진씽크빅 오천지국,시간협의,"월급1,500,000",1분전
경기 부천시,웅진씽크빅 부천상동지국,13:00~19:00,"월급2,000,000",3분전
경북 포항시,웅진씽크빅 오천지국,시간협의,"월급1,000,000",3분전
경북 전체,웅진씽크빅 포항남부지국,15:00~20:00,"월급2,500,000",4분전
경남 사천시,웅진씽크빅 사천지국,15:00~21:00,"월급1,800,000",7분전
경남 사천시,웅진씽크빅 사천지국,15:00~21:00,"월급1,800,000",8분전
경남 사천시,웅진씽크빅 사천지국,15:00~21:00,"월급1,800,000",8분전
울산 전체,웅진씽크빅 울산남부지국,시간협의,"월급1,500,000",9분전
서울 동대문,웅진씽크빅 동대문지국,13:00~20:00,"월급1,800,000",11분전
울산 전체,웅진씽크빅 울산남부지국,시간협의,"월급1,500,000",11분전
서울 동대문,웅진씽크빅 동대문지국,시간협의,"월급2,000,000",11분전
서울 동대문,웅진씽크빅 동대문지국,시간협의,"월급2,000,000",12분전
경기 시흥시,웅진씽크빅 시흥지국,13:00~19:00,"월급2,000,000",17분전
경기 시흥시,웅진씽크빅 시흥지국,13:00~19:00,"월급2,000,000",17분전
대구 동구,웅진씽크빅 대구동호지국,03:30~07:00,"월급2,000,000",18분전
경기 시흥시,웅진씽크빅 시흥지국,13:00~19:00,"월급2,000,000",18분전
경기 의정부,웅진씽크빅 동의정부지국,시간협의,"월급2,000,000",22분전
부산 강서구,웅진씽크빅 명지지국,시간협의,"월급1,822,480",23분전
경기 의정부,웅진씽크빅 동의정부지국,01:00~06:30,"월급2,000,000",23분전
경기 파주시,웅진씽크빅 운정한빛지국,14:00~19:00,"월급2,000,000",23분전
경기 파주시,웅진씽크빅 운정한빛지국,13:00~18:00,"시급15,000",24분전
경기 하남시,웅진씽크빅 하남지국,13:00~18:00,"월급2,000,000",24분전
경기 하남시,웅진씽크빅 하남지국,13:00~18:00,"월급2,000,000",24분전
경기 파주시,웅진씽크빅 운정한빛지국,14:00~19:00,"월급1,800,000",24분전
경기 시흥시,웅진씽크빅 시화지국,13:00~18:00,"월급2,000,000",25분전
경기 시흥시,웅진씽크빅 시화지국,14:00~19:00,"월급1,000,000",26분전
경기 여주시,웅진씽크빅 여주지국,14:00~20:00,"월급1,500,000",37분전
경기 여주시,웅진씽크빅 여주지국,14:00~20:00,"월급1,500,000",37분전
대구 달성군,웅진씽크빅 성서지국,시간협의,"월급1,500,000",40분전
대구 달성군,웅진씽크빅 성서지국,시간협의,"월급1,500,000",40분전
경기 김포시,웅진씽크빅 김포한강지국,시간협의,"월급1,800,000",45분전
경기 김포시,웅진씽크빅 김포한강지국,시간협의,"월급1,800,000",45분전
경기 고양시,웅진씽크빅 행신지국,13:00~19:00,"월급3,000,000",49분전
경기 고양시,웅진씽크빅 행신지국,13:00~19:00,"월급3,000,000",50분전
경기 고양시,웅진씽크빅 행신지국,13:00~19:00,"월급3,000,000",51분전
전북 전체,웅진씽크빅 정읍지국,14:00~20:00,"월급2,000,000",51분전
전북 전체,웅진씽크빅 정읍지국,14:00~20:00,"월급2,000,000",52분전
대전 유성구,웅진씽크빅 북대전지국,13:00~19:00,"월급1,700,000",53분전
부산 해운대,웅진씽크빅 센텀,13:00~18:00,"월급2,000,000",54분전
경기 구리시,웅진씽크빅 구리지국,14:00~19:00,"월급1,500,000",55분전
