place,title,time,pay,date
충북 청주시,유니클로 현대백화점 충청점,시간협의,"연봉26,330,000",3분전
부산 사하구,유니클로 부산 사하점,시간협의,"시급10,644",6분전
강원 강릉시,유니클로 강릉 포남점,시간협의,"시급9,300",23분전
서울 서대문,유니클로 현대백화점 신촌 U-PLEX,시간협의,"연봉26,330,000",27분전
서울 은평구,유니클로 롯데몰 은평점,시간협의,"시급11,160",32분전
경북 포항시,유니클로 포항 해도점,시간협의,"시급9,160",32분전
경북 포항시,유니클로 포항 해도점,시간협의,"시급9,300",32분전
경기 용인시,유니클로 기흥 롯데라이프스타일몰,시간협의,"시급9,300",34분전
경기 용인시,유니클로 기흥 롯데라이프스타일몰,시간협의,"연봉26,330,000",35분전
전북 군산시,유니클로 롯데몰군산점,시간협의,"시급11,160",38분전
경기 전체,유니클로 오산 은계점,시간협의,"시급11,160",44분전
서울 전체,유니클로 광화문 D-Tower점,시간협의,"시급9,300",47분전
경기 용인시,유니클로 롯데몰 수지점,시간협의,"시급9,300",49분전
경기 용인시,유니클로 롯데몰 수지점,시간협의,"시급11,160",51분전
경기 김포시,유니클로 김포 장기점,시간협의,"연봉26,330,000",51분전
경기 용인시,유니클로 롯데몰 수지점,시간협의,"연봉26,330,000",52분전
서울 영등포,유니클로 영등포 타임스퀘어점,시간협의,"시급11,160",1시간전
서울 영등포,유니클로 영등포 타임스퀘어점,시간협의,"연봉26,330,000",1시간전
충남 천안시,유니클로 천안 구성점,시간협의,"시급11,160",1시간전
경기 용인시,유니클로 용인 구성점,시간협의,"시급11,160",2시간전
부산 해운대,유니클로 롯데몰 동부산점,시간협의,"시급9,300",2시간전
부산 해운대,유니클로 롯데몰 동부산점,시간협의,"시급11,160",2시간전
전남 목포시,유니클로 목포 상동점,시간협의,"연봉26,330,000",2시간전
전남 목포시,유니클로 목포 상동점,시간협의,"시급11,160",2시간전
충남 당진시,유니클로 당진 읍내점,시간협의,"시급11,160",2시간전
서울 강북구,유니클로 롯데백화점 미아점,09:00~21:30,"시급9,300",3시간전
서울 강북구,유니클로 롯데백화점 미아점,09:00~21:30,"시급11,160",3시간전
서울 강북구,유니클로 롯데백화점 미아점,시간협의,"연봉26,330,000",3시간전
대구 동구,유니클로 롯데마트 대구율하점,시간협의,"시급11,160",3시간전
경기 전체,유니클로 롯데마트 의왕점,시간협의,"시급9,160",3시간전
대구 동구,유니클로 롯데마트 대구율하점,시간협의,"시급11,160",3시간전
대구 달서구,유니클로 대구 대천점,시간협의,"시급11,160",3시간전
경기 전체,유니클로 스타필드 안성점,시간협의,"시급9,160",3시간전
경기 전체,유니클로 스타필드 안성점,시간협의,"시급9,300",3시간전
경기 전체,유니클로 스타필드 안성점,시간협의,"시급9,160",3시간전
경기 전체,유니클로 스타필드 안성점,시간협의,"시급9,300",3시간전
대구 달서구,유니클로 대구 대천점,시간협의,"연봉26,330,000",3시간전
대구 전체,유니클로 현대백화점 대구점,시간협의,"시급11,160",3시간전
경기 고양시,유니클로 일산 덕이점,시간협의,"시급11,160",3시간전
서울 은평구,유니클로 은평점,08:00~21:30,"시급11,160",3시간전
