place,title,time,pay,date
인천 전체,장원교육 인천서구,14:00~21:00,"월급1,700,000",12분전
인천 전체,장원교육 인천서구,14:00~21:00,"월급1,700,000",13분전
인천 전체,장원교육 인천서구,14:00~21:00,"월급1,700,000",17분전
인천 전체,장원교육 인천서구,14:00~21:00,"월급1,700,000",19분전
대전 서구,장원교육 서대전,시간협의,"월급1,800,000",22분전
대전 서구,장원교육 서대전,시간협의,"월급1,800,000",23분전
세종 전체,장원교육 서대전,시간협의,"월급1,800,000",23분전
서울 광진구,장원교육 서울동부,10:00~18:00,"월급2,000,000",24분전
서울 광진구,장원교육 서울동부,10:00~18:00,"월급2,000,000",26분전
서울 광진구,장원교육 서울동부,10:00~18:00,"월급2,000,000",28분전
인천 전체,장원교육 인천서구,14:00~21:00,"월급1,700,000",28분전
경기 화성시,장원교육 2동탄,시간협의,"월급1,800,000",41분전
서울 영등포,장원교육 서울영등포,10:00~20:00,"월급2,000,000",45분전
경기 성남시,장원교육 서울송파,시간협의,"월급1,500,000",1시간전
경기 성남시,장원교육 분당,시간협의,"월급2,320,000",1시간전
경기 성남시,장원교육 서울송파,시간협의,"월급1,500,000",1시간전
경기 성남시,장원교육 분당,시간협의,"월급2,320,000",1시간전
경기 고양시,장원교육 일산동부,10:00~18:00,"월급2,000,000",2시간전
경기 안산시,장원교육 안산상록,시간협의,"월급2,000,000",2시간전
경기 성남시,장원교육 분당,11:00~20:00,"월급2,320,000",2시간전
경기 성남시,장원교육 분당남부,시간협의,"월급2,000,000",2시간전
경기 광명시,장원교육 광명,14:00~20:00,"월급2,000,000",3시간전
경기 고양시,장원교육 일산동부,10:00~18:00,"월급1,950,000",3시간전
경기 안산시,장원교육 안산상록,시간협의,"월급2,000,000",4시간전
서울 강서구,장원교육 서울양천,시간협의,"연봉20,000,000",4시간전
서울 관악구,장원교육 서울관악,13:00~21:00,"월급2,000,000",4시간전
서울 관악구,장원교육 서울관악,13:00~21:00,"월급2,000,000",4시간전
서울 관악구,장원교육 서울관악,13:00~21:00,"월급2,000,000",4시간전
대구 달서구,장원교육 월배,시간협의,"월급2,000,000",4시간전
대구 달서구,장원교육 월배,시간협의,"월급2,000,000",4시간전
대구 달서구,장원교육 월배,시간협의,"월급2,000,000",4시간전
대구 달서구,장원교육 월배,시간협의,"월급2,000,000",4시간전
경북 영주시,장원교육 안동/영주,10:00~18:00,"월급2,000,000",4시간전
부산 강서구,장원교육 김해,14:00~21:00,"월급1,500,000",4시간전
울산 북구,장원교육 울산북,10:00~20:00,"월급2,000,000",4시간전
경남 창원시,장원교육 마산서,시간협의,"월급1,800,000",4시간전
경남 김해시,장원교육 김해장유,14:00~21:00,"연봉15,000,000",4시간전
경남 김해시,장원교육 김해장유,14:00~21:00,"연봉15,000,000",4시간전
대구 동구,장원교육 대구동구,15:00~21:30,"월급1,900,000",4시간전
대구 전체,장원교육 대구서구,14:00~21:00,"월급2,000,000",4시간전
