place,title,time,pay,date
서울 중랑구,투썸플레이스 신내점,시간협의,"시급9,300",6분전
경기 수원시,투썸플레이스 수원 천천점,07:30~11:30,"시급9,160",6분전
경기 평택시,투썸플레이스,시간협의,"시급9,160",8분전
경남 양산시,투썸플레이스 양산통도사점,16:30~21:30,"시급9,160",8분전
경기 오산시,투썸플레이스 오산시티자이,15:00~18:00,"시급9,160",12분전
경기 김포시,투썸플레이스김포고촌점,시간협의,"월급1,920,000",13분전
서울 서초구,투썸플레이스 CJENM커머스부문점,12:00~18:00,"시급11,160",14분전
서울 송파구,투썸플레이스(주),시간협의,"시급9,300",16분전
경기 성남시,(주)썬월드,시간협의,"시급13,740",18분전
전북 전주시,투썸플레이스,시간협의,"시급9,160",18분전
서울 강남구,투썸플레이스 역삼자이점,15:00~21:00,"시급9,160",19분전
전북 군산시,투썸플레이스군산수송,시간협의,"시급9,160",20분전
부산 서구,투썸플레이스부산서대신점,17:00~22:00,"시급9,160",25분전
충남 논산시,투썸플레이스논산시청점,16:30~21:00,"시급9,160",27분전
서울 도봉구,투썸플레이스(주),시간협의,"시급11,160",28분전
서울 중랑구,투썸플레이스 용마산역점,시간협의,"월급1,950,000",30분전
경기 안양시,투썸 플레이스 안양덕천점,12:00~17:00,"시급10,464",33분전
경기 성남시,투썸플레이스 분당서현점,16:00~23:00,"시급9,160",33분전
서울 종로구,투썸플레이스,14:00~20:00,"시급9,160",36분전
서울 금천구,투썸플레이스 석수역점,11:30~22:30,"시급10,992",37분전
충남 천안시,투썸플레이스통정점,시간협의,"월급2,000,000",43분전
대구 중구,투썸플레이스 동성로 광장점,시간협의,"월급1,950,000",43분전
대구 중구,투썸플레이스 동성로 광장점,시간협의,"시급9,160",44분전
대구 중구,투썸플레이스 동성로 광장점,시간협의,"월급1,950,000",45분전
경기 오산시,투썸플레이스오산시청점,09:00~18:00,"월급1,914,440",47분전
인천 계양구,투썸플레이스(주)작전홈플러스점,09:30~16:00,"시급11,160",49분전
부산 해운대,투썸플레이스 해운대중동역점(부산중동),시간협의,"월급2,150,000",51분전
강원 속초시,투썸플레이스속초갯배점,15:00~21:00,"시급9,500",53분전
강원 속초시,투썸플레이스속초갯배점,12:00~21:00,"월급1,950,000",56분전
경북 구미시,(주)뉴동흥,18:00~23:30,"시급9,200",57분전
서울 마포구,(주)민앤장,22:00~07:00,"월급2,100,000",57분전
경기 성남시,투썸플레이스(주),10:00~16:30,"시급11,160",1시간전
인천 미추홀,투섬플레이스 주안점,18:30~23:30,"시급9,160",1시간전
경기 성남시,투썸플레이스 판교파미어스몰점,시간협의,"월급2,050,000",1시간전
인천 미추홀,투섬플레이스 주안점,18:30~23:30,"시급9,160",1시간전
부산 서구,투썸플레이스부산서대신점,17:00~22:00,"시급9,160",1시간전
서울 송파구,투썸플레이스 마천사거리점,17:30~22:30,"시급9,160",1시간전
경기 평택시,투썸플레이스,시간협의,"시급9,160",1시간전
서울 서초구,투썸플레이스 서초구청점,시간협의,"시급11,000",1시간전
서울 성동구,투썸플레이스,시간협의,"월급1,920,000",1시간전
