place,title,time,pay,date
서울 동대문,파리바게뜨 청량리점,17:00~22:00,"시급9,200",1분전
서울 전체,파리바게뜨 석촌점,07:00~14:00,"시급9,160",1분전
경북 포항시,파리바게뜨 포항쌍용점,16:30~23:30,"시급9,160",1분전
인천 미추홀,파리바게뜨 학익법원점,17:00~22:00,"시급9,160",2분전
전북 전주시,파리바게뜨 전주에코자이점,18:00~22:00,"시급9,160",5분전
서울 구로구,파리바게뜨 고척2동점,18:00~23:00,"시급9,160",5분전
경기 남양주,파리바게뜨 다산역점,시간협의,"시급9,160",9분전
서울 영등포,파리바게뜨 대림성모점,15:00~19:00,"시급9,160",11분전
세종 전체,파리바게뜨 세종부강점,17:00~22:00,"시급9,160",15분전
서울 종로구,파리바게뜨 종로구청점,13:00~18:00,"시급9,160",15분전
경기 화성시,파리바게뜨 송산그린시티점,13:00~18:00,"시급9,160",16분전
충북 청주시,파리바게뜨 서현홍골지구점,18:00~23:00,"시급9,160",16분전
경기 평택시,파리바게뜨 평택장당점,18:00~22:30,"시급9,160",19분전
충북 청주시,파리바게뜨 서현홍골지구점,07:00~13:00,"시급9,160",20분전
서울 송파구,파리바게뜨 오금현대점,시간협의,"시급9,160",21분전
경기 성남시,파리바게뜨 성남삼성점,12:00~18:00,"시급9,160",32분전
경기 여주시,파리바게뜨 여주점,09:30~17:30,"시급9,160",38분전
경기 부천시,파리바게뜨 카톨릭대점,시간협의,"시급9,160",41분전
충남 서산시,파리바게뜨 충서원예농협점,시간협의,"시급9,160",43분전
강원 철원군,파리바게뜨 운천점,12:30~17:30,"시급9,160",46분전
경기 수원시,파리바게뜨 수원삼성전자점,13:00~19:00,"시급9,200",51분전
전국 전체,파리바게뜨 대부도점,07:30~15:30,"시급9,160",51분전
경남 합천군,파리바게뜨 경남합천점,시간협의,"시급9,160",51분전
경기 수원시,파리바게뜨 수원삼성전자점,07:00~13:00,"시급9,200",52분전
경기 하남시,파리바게뜨 미사중앙점,시간협의,"시급9,160",54분전
인천 남동구,파리바게뜨 인천터미널점,18:00~23:00,"시급9,160",55분전
경기 화성시,파리바게뜨 동탄하나로클럽점,시간협의,"시급9,160",57분전
광주 남구,파리바게뜨 광주백운점,13:00~17:30,"시급9,160",57분전
울산 북구,파리바게뜨 울산호계점,18:00~21:00,"시급9,160",1시간전
서울 강서구,파리바게뜨 강서블루나인점,시간협의,"시급9,160",1시간전
전국 전체,파리바게뜨 대부도점,07:30~15:30,"시급9,160",1시간전
인천 연수구,파리바게뜨 인천옥련점,16:00~22:30,"시급9,200",1시간전
경기 성남시,파리바게뜨 분당미금점,12:00~17:00,"시급9,160",1시간전
전북 전주시,파리바게뜨 전주에코자이점,07:00~01:00,"시급9,160",1시간전
서울 영등포,파리바게뜨 여의경도상가점,07:00~14:00,"시급9,160",1시간전
전북 군산시,파리바게뜨 군산미장점,08:00~14:00,"시급9,160",1시간전
서울 강남구,파리바게뜨 압구정신구초교점,시간협의,"시급9,500",1시간전
경기 성남시,파리바게뜨 미금샤르망점,07:30~14:30,"시급9,160",1시간전
대전 대덕구,파리바게뜨 대전대청동일점,시간협의,"시급9,160",1시간전
서울 동대문,파리바게뜨 고대역점,14:00~21:00,"시급9,160",1시간전
