place,title,time,pay,date
제주 제주시,하나로플랫폼 제주지사,15:00~01:00,"일급200,000",18분전
경북 경산시,하나로플랫폼 본사,시간협의,"월급5,000,000",24분전
대구 북구,하나로플랫폼 본사,시간협의,"월급5,000,000",24분전
대구 북구,하나로플랫폼 본사,시간협의,"월급5,000,000",25분전
대구 남구,하나로플랫폼 본사,시간협의,"월급5,000,000",26분전
대구 달서구,하나로플랫폼 본사,시간협의,"월급5,000,000",26분전
대구 달서구,하나로플랫폼 본사,시간협의,"월급5,000,000",26분전
대구 수성구,하나로플랫폼 본사,시간협의,"월급5,000,000",28분전
대구 수성구,하나로플랫폼 배달대행 만촌지사,시간협의,"일급300,000",30분전
대구 남구,하나로플랫폼 배달대행 만촌지사,시간협의,"주급1,200,000",31분전
대구 수성구,하나로플랫폼 배달대행 만촌지사,시간협의,"주급1,200,000",32분전
대구 동구,하나로플랫폼 배달대행 만촌지사,시간협의,"월급5,000,000",32분전
대구 수성구,하나로플랫폼 배달대행 만촌지사,시간협의,"월급5,000,000",34분전
대구 수성구,하나로플랫폼 만촌지사,시간협의,"일급300,000",35분전
대구 수성구,하나로플랫폼 만촌지사,시간협의,"일급300,000",35분전
대구 동구,하나로플랫폼 만촌지사,시간협의,"일급300,000",36분전
대구 서구,하나로플랫폼 배달대행 범어지사,시간협의,"일급300,000",49분전
대구 북구,하나로플랫폼 배달대행 범어지사,시간협의,"일급300,000",49분전
대구 수성구,하나로플랫폼 배달대행 범어지사,시간협의,"일급300,000",49분전
대구 수성구,하나로플랫폼 배달대행 범어지사,시간협의,"일급300,000",49분전
대구 남구,하나로플랫폼 배달대행 범어지사,11:00~02:00,"일급300,000",50분전
대구 달서구,하나로플랫폼 배달대행 범어지사,11:00~02:00,"일급300,000",50분전
대구 중구,하나로플랫폼 배달대행 범어지사,11:00~02:00,"일급300,000",50분전
대구 수성구,하나로플랫폼 범어지사,10:00~02:00,"일급300,000",50분전
대구 남구,하나로플랫폼 범어지사,10:00~02:00,"일급300,000",50분전
대구 중구,하나로플랫폼 범어지사,11:00~02:00,"일급300,000",50분전
대구 달서구,하나로플랫폼 범어지사,11:00~02:00,"월급6,000,000",50분전
대구 수성구,하나로플랫폼 범어지사,시간협의,"일급300,000",50분전
대구 수성구,하나로플랫폼 야간지사,10:30~04:00,"일급200,000",1시간전
대구 수성구,하나로플랫폼 야간지사,10:30~05:00,"일급200,000",1시간전
부산 금정구,하나로플랫폼 배달대행 꾸벅지사,11:00~02:00,"일급250,000",1시간전
부산 동래구,하나로플랫폼 배달대행 부산지사,11:00~02:00,"일급250,000",1시간전
부산 금정구,하나로플랫폼 금정지사,11:00~02:00,"일급250,000",1시간전
부산 연제구,하나로플랫폼 연제지사,11:00~02:00,"일급250,000",1시간전
부산 동래구,하나로플랫폼 동래지사,11:00~02:00,"일급250,000",1시간전
대구 수성구,하나로플랫폼 수성지사,시간협의,"일급200,000",3시간전
대구 수성구,하나로플랫폼 수성지사,시간협의,"일급200,000",3시간전
대구 수성구,하나로플랫폼 배달대행 수성지사,시간협의,"일급200,000",3시간전
대구 수성구,하나로플랫폼 배달대행 수성지사,시간협의,"일급200,000",3시간전
대구 수성구,하나로플랫폼 배달대행 수성지사,시간협의,"일급200,000",3시간전
