place,title,time,pay,date
서울 영등포,할리스커피 여의도파이낸스점,19:00~23:00,"시급9,160",3분전
경기 의정부,할리스커피 의정부민락점,16:00~24:00,"시급9,160",4분전
서울 용산구,할리스커피 이태원점,20:00~02:00,"시급9,160",24분전
서울 강서구,할리스커피 김포공항점,14:00~21:00,"시급9,160",31분전
서울 강서구,할리스커피 김포공항점,14:00~21:00,"시급9,160",35분전
충남 공주시,할리스커피 동학사점,시간협의,"시급10,000",36분전
충남 계룡시,할리스커피 동학사점,시간협의,"시급10,000",38분전
서울 종로구,할리스커피 청계천점,20:00~23:00,"시급9,160",40분전
세종 전체,할리스커피 동학사점,시간협의,"시급10,000",40분전
대전 전체,할리스커피 동학사점,시간협의,"시급10,000",43분전
서울 서초구,할리스커피 교대역점,20:00~24:00,"시급9,160",55분전
경기 수원시,할리스커피 수원권선점,19:30~23:00,"시급9,160",1시간전
부산 동래구,할리스커피 부산동래역점,18:00~02:30,"시급9,160",1시간전
경기 수원시,할리스커피 수원역점,17:00~22:00,"시급9,160",1시간전
경기 화성시,할리스커피 화성융건릉점,12:30~16:00,"시급9,160",1시간전
경기 화성시,할리스커피 화성융건릉점,13:30~17:30,"시급9,160",1시간전
서울 마포구,할리스커피 홍대역2번출구점,시간협의,"월급1,950,000",1시간전
경기 성남시,할리스커피 신흥역점,19:00~22:00,"시급9,160",1시간전
서울 마포구,할리스커피 홍대역2번출구점,15:00~24:00,"시급9,160",1시간전
서울 마포구,할리스커피 홍대거리점,18:30~22:30,"시급9,160",1시간전
경기 남양주,할리스커피 다산한강점,09:00~15:00,"시급9,160",1시간전
서울 광진구,할리스커피 광장점,11:00~17:00,"시급9,160",1시간전
서울 광진구,할리스커피 광장점,11:00~17:00,"시급9,160",1시간전
서울 광진구,할리스커피 광장점,11:00~17:00,"시급9,160",1시간전
광주 광산구,할리스커피 광주첨단점,시간협의,"시급9,160",1시간전
광주 남구,할리스커피 광주봉선점,시간협의,"시급9,160",1시간전
서울 노원구,할리스커피 당고개역점,19:00~22:00,"시급9,160",1시간전
충북 청주시,할리스커피 충북오송점,13:30~17:30,"시급9,160",1시간전
서울 노원구,할리스커피 수락산역점,시간협의,"시급9,160",1시간전
충북 청주시,할리스커피 충북오송점,시간협의,"시급9,160",1시간전
충북 청주시,할리스커피 청주명암레이크점,시간협의,"월급2,000,000",2시간전
서울 양천구,할리스커피 목동예술인회관점,시간협의,"시급9,160",2시간전
서울 중구,할리스커피 명동퍼시픽호텔점,12:30~16:00,"시급9,160",2시간전
전북 익산시,할리스커피 익산부송점,14:30~23:30,"월급2,300,000",2시간전
서울 구로구,할리스커피 오류동역점,시간협의,"월급2,100,000",2시간전
전북 전주시,할리스커피 전주시네마점,시간협의,"시급9,200",2시간전
인천 남동구,할리스커피 인천구월로데오점,시간협의,"시급9,160",2시간전
울산 남구,할리스커피 울산디자인거리점,16:00~22:00,"시급9,160",2시간전
인천 부평구,할리스커피 부평로데오점,12:00~18:00,"시급9,160",2시간전
인천 부평구,할리스커피 부평로데오점,18:30~23:00,"시급9,160",2시간전
